Land Parcel ID,State,District,Division,Latitude,Longitude,Land Area (hectare),Soil Type,Soil pH,Avg Temperature (°C),Avg Rainfall (mm/year),Humidity (%),Slope,Elevation (meters),Proximity to Water,Water Availability,Native Species,Carbon Sequestration (kg CO2/year/tree),Maintenance Requirements,Growth Period (Months),Cost (per hectare),Planting Density (trees per hectare)
LP001,Karnataka,Bangalore,South,33.33311963786513,84.65184918894559,27.78501527228459,Red,6.925083628805718,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,1404.7395858124974,1377
LP002,Maharashtra,Mumbai,West,8.642416007010352,97.35545715038728,20.999755047093384,Black,6.96557359148776,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,3778.589243444665,1856
LP003,Uttar Pradesh,Lucknow,Central,26.14330191166053,89.84009582517979,23.986614876401127,Alluvial,6.355153428733311,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,4416.211727653013,802
LP004,Gujarat,Ahmedabad,North,32.3646552568594,78.73570461335245,15.894917217959005,Laterite,6.806362222698157,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,2306.439113967065,617
LP005,Tamil Nadu,Chennai,East,36.47524189170959,94.0417480937709,21.975635599363308,Mountain,7.371603114336139,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,2860.715657059264,1052
LP006,Karnataka,Bangalore,South,14.735365643377325,92.63032002715818,26.10048412560802,Red,6.773871274943728,25,800,60,10 degrees,150,500 meters,Moderate,"Neem, Banyan",20,Low,24,3674.8060551688272,1697
LP007,Maharashtra,Mumbai,West,12.2685343395693,88.91206785651234,28.21568051103035,Black,6.596488404914629,25,800,60,Flat,150,Nearby,High,"Teak, Bamboo, Sandalwood",20,Medium,36,3241.304651425032,1579
LP008,Uttar Pradesh,Lucknow,Central,29.044334843517234,79.75136890288215,28.93924003016025,Alluvial,6.400158836269504,25,800,60,Slight,150,Adjacent,Medium,"Rosewood, Mango, Tamarind",20,High,48,4182.183831360644,875
LP009,Gujarat,Ahmedabad,North,31.26380535313818,69.47488307986212,18.580764715352714,Laterite,6.32987328520975,25,800,60,Moderate,150,Far,Low,"Sal, Pine, Oak",20,Very High,60,3071.4556656815744,1816
LP010,Tamil Nadu,Chennai,East,33.02071874395274,85.55048886090322,21.780188968070537,Mountain,6.098537518026897,25,800,60,Steep,150,Very Far,Very Low,"Mahogany, Eucalyptus, Pine",20,Extreme,72,4654.574105646083,1568
